iter	RMSE
0	16.53517098
1	16.38190271
2	16.21963568
3	16.05128559
4	15.88414045
5	15.72269579
6	15.57081411
7	15.40795755
8	15.2450335
9	15.13142163
10	14.98416711
11	14.8330899
12	14.71356775
13	14.58948717
14	14.46903356
15	14.32757013
16	14.19487152
17	14.05732314
18	13.91056409
19	13.77835263
20	13.6528014
21	13.50858915
22	13.36077573
23	13.25254031
24	13.11483448
25	13.01756413
26	12.88084445
27	12.76810664
28	12.66441803
29	12.53804452
30	12.42292164
31	12.32362972
32	12.21322386
33	12.08230942
34	11.96810661
35	11.86677579
36	11.76456197
37	11.65640269
38	11.55392694
39	11.44598168
40	11.34661087
41	11.24293879
42	11.13232209
43	11.04320591
44	10.94135844
45	10.86941293
46	10.78766152
47	10.6992697
48	10.60870907
49	10.51905015
50	10.43035829
51	10.34370381
52	10.27739836
53	10.17664721
54	10.09973429
55	10.00122779
56	9.915555706
57	9.835142773
58	9.769457662
59	9.689967124
60	9.608945796
61	9.533055223
62	9.46396945
63	9.393753346
64	9.322421885
65	9.254858689
66	9.182761456
67	9.100788115
68	9.029758855
69	8.957151827
70	8.876561561
71	8.810612453
72	8.742266941
73	8.691075946
74	8.625356847
75	8.562780394
76	8.497126303
77	8.432659495
78	8.369335662
79	8.304388409
80	8.238040953
81	8.175984535
82	8.127213627
83	8.071142774
84	8.014567773
85	7.952710632
86	7.893680403
87	7.837361909
88	7.779451242
89	7.725908
90	7.660434682
91	7.608028551
92	7.55455857
93	7.500969
94	7.457323685
95	7.411802189
96	7.361150725
97	7.306285864
98	7.252605106
99	7.193386455
100	7.140725365
101	7.091821226
102	7.050439034
103	7.004806235
104	6.955555884
105	6.912470125
106	6.866730982
107	6.817876111
108	6.779969748
109	6.734789169
110	6.699547411
111	6.654740356
112	6.614344332
113	6.574159368
114	6.527319183
115	6.48975126
116	6.443862957
117	6.404707538
118	6.361909071
119	6.320233707
120	6.275171439
121	6.237809128
122	6.20060689
123	6.167987445
124	6.130117734
125	6.103250781
126	6.064748532
127	6.031244114
128	5.991867291
129	5.959971674
130	5.928157346
131	5.896743055
132	5.861948192
133	5.83108358
134	5.79789872
135	5.767982046
136	5.739462632
137	5.708883071
138	5.678980957
139	5.643053065
140	5.612224231
141	5.587869661
142	5.554180112
143	5.529947253
144	5.500328273
145	5.473916761
146	5.441218189
147	5.408787731
148	5.383217842
149	5.352547052
150	5.322760399
151	5.293866012
152	5.265596079
153	5.23634123
154	5.207013754
155	5.18292284
156	5.15454441
157	5.134495855
158	5.114170543
159	5.087431888
160	5.060093712
161	5.036347727
162	5.015724769
163	5.000331115
164	4.980254397
165	4.956567671
166	4.935823564
167	4.914941629
168	4.894398988
169	4.875903138
170	4.851966213
171	4.829884917
172	4.809428109
173	4.792817249
174	4.773162693
175	4.760645897
176	4.738428207
177	4.716552068
178	4.695902722
179	4.677603363
180	4.659796479
181	4.643627015
182	4.62191453
183	4.60503518
184	4.58006207
185	4.567741956
186	4.549247896
187	4.534045291
188	4.51445998
189	4.501089374
190	4.481250187
191	4.460936434
192	4.446664599
193	4.429137088
194	4.412122744
195	4.398015745
196	4.380010744
197	4.368021633
198	4.351662924
199	4.334772411
200	4.317428929
201	4.301233027
202	4.283600044
203	4.269352854
204	4.253763443
205	4.238309545
206	4.225141425
207	4.209818065
208	4.196458415
209	4.182469459
210	4.171077495
211	4.159805506
212	4.151014669
213	4.146329263
214	4.130135113
215	4.11826176
216	4.101749463
217	4.092067798
218	4.077426715
219	4.06393205
220	4.055032115
221	4.046980649
222	4.036950572
223	4.025390199
224	4.015374546
225	4.004232471
226	3.995197492
227	3.987918353
228	3.975732246
229	3.964417473
230	3.953400686
231	3.943468692
232	3.931503841
233	3.915577846
234	3.902334819
235	3.890609075
236	3.880340405
237	3.872182875
238	3.86182823
239	3.855430168
240	3.844539596
241	3.834185108
242	3.824063988
243	3.814822225
244	3.802060776
245	3.794692238
246	3.78594006
247	3.776127003
248	3.768444403
249	3.760309324
250	3.752738026
251	3.745368435
252	3.734432418
253	3.724549039
254	3.717284137
255	3.708969428
256	3.701814433
257	3.693352527
258	3.685811363
259	3.67815165
260	3.666930946
261	3.659150631
262	3.651831957
263	3.642365111
264	3.635028372
265	3.626221552
266	3.618659885
267	3.609523422
268	3.599993242
269	3.593340082
270	3.581034901
271	3.571711838
272	3.562368363
273	3.553821671
274	3.546557306
275	3.53890585
276	3.529919301
277	3.520470998
278	3.5132942
279	3.504867254
280	3.498569754
281	3.492533133
282	3.484851021
283	3.476830278
284	3.470473455
285	3.462262803
286	3.455542647
287	3.446560456
288	3.439794332
289	3.431118395
290	3.424696681
291	3.417546858
292	3.412650072
293	3.407658155
294	3.400938127
295	3.395080966
296	3.389074246
297	3.384521158
298	3.377812205
299	3.37068448
300	3.365785346
301	3.360756428
302	3.355483549
303	3.3478575
304	3.340192868
305	3.335369555
306	3.331600924
307	3.325283672
308	3.319532501
309	3.313711337
310	3.30760069
311	3.302283454
312	3.29566206
313	3.288645739
314	3.282873559
315	3.27745904
316	3.272195876
317	3.265507218
318	3.26090956
319	3.25349563
320	3.246491527
321	3.240416763
322	3.235919267
323	3.229419917
324	3.22377147
325	3.218246669
326	3.211445994
327	3.206967057
328	3.202659712
329	3.197447364
330	3.19349489
331	3.187290328
332	3.181900624
333	3.178046683
334	3.172183325
335	3.165956274
336	3.159748758
337	3.154594248
338	3.149112683
339	3.142836624
340	3.137702511
341	3.133049241
342	3.127335477
343	3.12250452
344	3.118625358
345	3.114004715
346	3.109839995
347	3.104085023
348	3.097361663
349	3.093815984
350	3.090515638
351	3.085275443
352	3.080953222
353	3.076614755
354	3.071027351
355	3.066094494
356	3.060372949
357	3.055929212
358	3.050987354
359	3.047176374
360	3.043427143
361	3.039483628
362	3.034466262
363	3.028283326
364	3.023268783
365	3.015355911
366	3.011815033
367	3.008939617
368	3.005470323
369	3.001704194
370	2.998171738
371	2.994954357
372	2.990552511
373	2.987347982
374	2.984022186
375	2.979703422
376	2.972424269
377	2.967926335
378	2.963560712
379	2.960259846
380	2.955838818
381	2.950110781
382	2.947454309
383	2.944725675
384	2.94001156
385	2.935656907
386	2.931516077
387	2.925796263
388	2.923005274
389	2.919740797
390	2.916292715
391	2.910911836
392	2.906899741
393	2.904825855
394	2.899128007
395	2.894795175
396	2.891148144
397	2.887000682
398	2.883216601
399	2.880132801
400	2.876115002
401	2.871403741
402	2.867768176
403	2.864147074
404	2.859661954
405	2.856533082
406	2.852215144
407	2.847067143
408	2.843782369
409	2.840257816
410	2.838285927
411	2.83310065
412	2.828838912
413	2.823159357
414	2.819710672
415	2.816683806
416	2.813321984
417	2.809342138
418	2.805551598
419	2.800886499
420	2.796498625
421	2.791122258
422	2.786401412
423	2.782296696
424	2.779312154
425	2.775631402
426	2.771709159
427	2.767628567
428	2.763588259
429	2.758498796
430	2.755209909
431	2.750911731
432	2.747589636
433	2.74323651
434	2.737666318
435	2.733872546
436	2.730201097
437	2.724442993
438	2.721645581
439	2.718481736
440	2.714236937
441	2.709404939
442	2.705341097
443	2.700240733
444	2.695573222
445	2.691198321
446	2.687364436
447	2.683276615
448	2.679495524
449	2.676986611
450	2.672014397
451	2.666975207
452	2.662136854
453	2.658235782
454	2.655389944
455	2.651619431
456	2.647852765
457	2.644105581
458	2.639910951
459	2.635737125
460	2.632964193
461	2.629163759
462	2.624714179
463	2.621184132
464	2.618738535
465	2.614974686
466	2.610501406
467	2.607423942
468	2.604775402
469	2.600953642
470	2.596223722
471	2.594321753
472	2.591064452
473	2.586744663
474	2.583799553
475	2.579693298
476	2.576119872
477	2.570891311
478	2.568490042
479	2.563902839
480	2.560969585
481	2.55720617
482	2.551546035
483	2.548318544
484	2.545042178
485	2.541365597
486	2.538437304
487	2.532157554
488	2.526513294
489	2.522717402
490	2.518854984
491	2.51547019
492	2.512569085
493	2.508168346
494	2.504362176
495	2.498948109
496	2.494766619
497	2.490806261
498	2.488314218
499	2.483675151
500	2.479461471
501	2.47654337
502	2.4717723
503	2.468452873
504	2.466180579
505	2.462306228
506	2.458199285
507	2.455586614
508	2.453602553
509	2.450393972
510	2.446562472
511	2.443508157
512	2.440486412
513	2.436496601
514	2.433814105
515	2.430937748
516	2.425872585
517	2.423586922
518	2.4194542
